time,username,message
98,Nightbot,real
98,xXLNCc,gkgu
98,ai_coal,Ass
98,hbg_lh,7777777
98,w7xiz,send nudes
98,fnlbobby,777777
98,bilkyboapr6,lattte
98,Nightbot,BOOOOOOOOOOOOOO
98,akbeam1212,yo
99,blake152315,TS GOT HID FROM ME FOR 1:20 minutes
99,OleJohnnyDogs,!title
99,rkiili,cap
99,cohan281,I need to rank up can we play together
99,M3hmet_1903,hello
99,oreozbatch,EARLYYYY
99,oxvoidzz,SAKA MISSED A PEN
99,Pheonix8567,WHAT IS UP JUNKO????
99,tomuchforyou1223,777
99,Pet_Wusssyy,YOOOOOO
99,Fossabot,@OleJohnnyDogs Title for Jynxzi: [106/365] 💵 Spending $10K on R6 Skins 💵 REAL vs ARSENAL REACTION -> TOXIC 1v1s -> JYNXZI vs RICCI FIFA -> RANKED 💰
99,bomz1019,77777777
99,patrickstar2134_,Jager dark ice
99,jessielynnnn,what’s the title say
99,Nightbot,no
100,brrny4611,7
100,jpcalling,WWWWWWWWWW
100,will_a72,MBAPPEEEEEEE
100,hbg_lh,777777
100,StreamElements,tnl_aesthetic1 has spent  9 hours 50 mins watching jynxzi
101,mxmorrow811,"mxmorrow811 subscribed at Tier 1. They've subscribed for 14 months, currently on a 14 month streak! W stream"
102,jamezkellyz,SHUTTT UPPP
102,roders05,MARCH MADNESS!!!
102,dubdooble,spend 6 dollars on a sub for me please daddy junko
102,mysticfv3,BUY MY CHARM FOR 7000
102,kztrq,L late
102,katchdeezzhandzz,lateee
102,thisdudeayden,bots assemble
102,kochie88,7
102,cheesecakenov420,77777
102,LxOnGG,W
102,rizzlol6,777
102,xarzyt12,77777777777777
102,Fossabot,"@mrstar124623686, Your message is too long"
102,dyljanriz,fatass
102,coutschen,"coutschen subscribed at Tier 1. They've subscribed for 26 months, currently on a 26 month streak! "
103,joncontroller1,777777
103,ibroprufen,77
103,waywayvr45,777777
103,extendedbarrei,7777777
103,harvey_r6_fn,hello my big fat chungus you are looking beautiful today
103,jio6487,latate
103,trixzymatt,RAHHH
103,regotheman134,late
103,l3vi_sama,morning fatty
103,chad23_,SAME SHIRT
103,mason_adams17,mason_adams17 subscribed at Tier 1. They've subscribed for 7 months! 
103,brebree66,"brebree66 subscribed at Tier 1. They've subscribed for 6 months, currently on a 6 month streak! gooodafternooon"
103,FrSam0,hi
103,combatsquash14,L fatty drink a beer
103,ryan_benji,hey fatboy
104,eldeee09,You said marketPLACE WAS FOR LOSERS
104,susgod7,WWWWWWWW
104,M3hmet_1903,hellooooo
104,louisosa123,7
105,adrixity,LMAO
105,itzrauley,l ads
105,tyvavy999,real 4-0 (4-3) agr
105,albannnnq,jynxzi guess what chicken butt
105,Axronn2135,late
105,sks_gavin2563,I hate you junko you got me addicted to this damn video game
105,BlooFishburger,Lateeee
105,hevarthegoat,7777
105,BBL_CaseOh,w bathtub
105,maxishbbd,late
105,kellanito,!sub
105,S0yFreddy,jynxziVapeBreak_SG jynxziVapeBreak_SG
105,iheart_ray,L adds
105,ldh2013,hey can u 777
105,Nightbot,Subscribe to Jynxzi at https://subs.twitch.tv/jynxzi
106,afonso2508,777777
106,w7rrior,I JUST GOT OFF WORK JINKIE
106,2amdeeno,same
106,sinatahamtan,7777
106,bailey2627,ur barber messed u up bro
106,SniperDragonden1,I wish I had the bag to spend for that there is some skins I have been wanting that ain’t that much
106,katchdeezzhandzz,lateeeeee
106,BLUExARSONIST,hi junky
106,ColinBorderHops,ColinBorderHops subscribed with Prime. They've subscribed for 4 months! 
106,T0MZZ07,7777777
106,ChickenTendys77,SWANSEA
106,nateefrr,TT
106,lilsluga,he’s a billionaire
106,chanceyambo,fornite GeoGuessr
106,imnotmacky,DADDY JINKY
107,lil_tony0417,ZOLA SCORED!!!!!!
107,overthinkrrr,MP5 GLACIER
107,callmepoppp,yo
107,Psy_cn,77
107,hahahahahah2158,7
107,luckyopener3,yoooooo
107,knullxi,UR SO HOT
107,ductilemusic320,yes sir
107,czrbon,"czrbon subscribed at Tier 1. They've subscribed for 14 months, currently on a 3 month streak! happy 14 months junkoooo"
109,cooorslight,sending hate from ur closet
109,eletyyy,hey jynxzi!!
109,itzrauley,L ADSSSS
109,sif_freezing210000,7
109,daryan_aram,bro wants to buy jager black ice but he can’t😂😂😂
109,not_balo,ogre bomb
109,usinRoxxy,W
109,emildige153628,suck my tits Big boy
